Year,Overflow_Type,Municipality,Wet-Dry-Event,NPDES,Date_discovered,Time_discovered,Days,Hours,Minutes,Location,Pipe-Manhole-ID,ZipCode,Latitude,Longitude,Collection-System,QUAN-GALS-Gross,QUAN-GALS-Net,Cause,HealthDeptNotified,How_HeatlhDepart_Was_Notified,Corrective_Action,Watershed,Receiving_waters,County,Comment,Penalty_Collected,Penalty_Collected_Comments
2018,SSO,City of Baltimore Dept. of Public Works,Wet,,1/24/2018,10:40:00 AM,0,0,43,2218 Hillhouse Rd.,Manhole,21207,39.314197,-76.706907,City of Baltimore Dept. of Public Works,215,215,"Rags, roots, grease.",,,Relieved 8 inch mainline choke with 200 ft. of pressure hose. Confirmed mainline is clear.,Gwynns Falls,,Baltimore City,,,
2018,SSO,City of Baltimore Dept. of Public Works,Wet,,1/24/2018,12:08:00 PM,0,2,26,3200 Carlisle Ave.,Manhole,21216,39.318604,-76.670053,City of Baltimore Dept. of Public Works,730,730,"Rags, grease, trash/debris, sand, gravel, rocks.",,,Relieved 8 inch mainline choke with 200 ft. of pressure hose. Performed CCTV inspection.,Gwynns Falls,Gwynns Falls,Baltimore City,,,
2018,SSO,City of Baltimore Dept. of Public Works,Wet,,1/24/2018,2:07:00 PM,0,2,47,Wetheredsville Rd. & Cottondale Ln.,Manhole,21207,39.315368,-76.702848,City of Baltimore Dept. of Public Works,1670,1670,"Rags, grease, trash/debris, sand, gravel, rocks.",,,Relieved 8 inch mainline choke with 200 ft. of pressure hose. Performed CCTV inspection.,Gwynns Falls,,Baltimore City,,,
2018,SSO,City of Baltimore Dept. of Public Works,Wet,,1/25/2018,10:08:00 PM,0,11,57,1020 McDonogh St.,Manhole,21205,39.302525,-76.593757,City of Baltimore Dept. of Public Works,1434,1434,"Rags, grease, trash/debris, sand, gravel, rocks.",,,Relieved 8 inch mainline choke with 200 ft. of pressure hose. Performed mainline CCTV inspection to determine if there's an obstruction in pipe.,Baltimore Harbor,Inner Harbor,Baltimore City,,,
2018,SSO,City of Baltimore Dept. of Public Works,Dry,,1/29/2018,3:15:00 PM,0,1,27,4501 N. Charles St.,Manhole,21212,39.346194,-76.62138,City of Baltimore Dept. of Public Works,870,870,"Trash/debris, sand, gravel, rocks, pipe break.",,,Relieved 8 inch mainline choke with 300 ft. of pressure hose.  Performed mainline CCTV inspection to determine possible structural damage.,Jones Falls,Jones Falls,Baltimore City,,,
2018,SSO,City of Baltimore Dept. of Public Works,Dry,,1/29/2018,2:52:00 PM,0,1,0,3000 Dupont Ave.,Manhole,21215,39.344369,-76.665704,City of Baltimore Dept. of Public Works,300,300,"Rags, grease, trash/debris, sand, gravel, rocks.",,,Relieved 8 inch mainline choke with 300 ft. of pressure hose.  Performed mainline CCTV inspection; cleaned the mainline.,Jones Falls,Jones Falls,Baltimore City,,,
2018,SSO,City of Baltimore Dept. of Public Works,Dry,,1/30/2018,,,,,3705 8th St.,Clean out,21225,39.233855,-76.599734,City of Baltimore Dept. of Public Works,99,99,Roots.,,,Relieved house connection choke with 20 ft. of electric cable. Performed CCTV inspection; flushed and cleaned 8 inch mainline.,Baltimore Harbor,,Baltimore City,,,
2018,SSO,City of Baltimore Dept. of Public Works,Dry,,1/31/2018,2:15:00 PM,0,1,30,2801 W. Mulberry St.,Manhole,21223,39.292485,-76.662508,City of Baltimore Dept. of Public Works,180,180,"Rags, roots, trash/debris, sand, gravel, rocks.",,,Relieved 8 inch mainline choke with 300 ft. of pressure hose.,Gwynns Falls,Gwynns Falls,Baltimore City,,,
2018,SSO,City of Baltimore Dept. of Public Works,Dry,,1/31/2018,10:50:00 AM,0,4,16,239 N. Culver St.,Pipe,21229,39.289538,-76.673135,City of Baltimore Dept. of Public Works,768,768,"Rags, grease, trash/debris, sand, gravel, rocks.",,,Relieved 12 inch mainline choke with 250 ft. of pressure hose. Performd mainline CCTV inspection to identify pipe defect.,Gwynns Falls,Gwynns Falls,Baltimore City,,,
2018,SSO,City of Baltimore Dept. of Public Works,Dry,,1/31/2018,10:14:00 AM,4,6,46,236 S. Mt. Olivet Ln.,Pipe,21223,39.283175,-76.66827,City of Baltimore Dept. of Public Works,9452,9452,Pipe break.,,,Set up bypass pumpng to abate overflow.  Exploring options for possible pipe linng.,Gwynns Falls,,Baltimore City,,,
2018,SSO,City of Baltimore Dept. of Public Works,Dry,,2/1/2018,9:28:00 AM,0,5,4,1214 Seminole Ave.,Manhole,21229,39.299752,-76.690632,City of Baltimore Dept. of Public Works,608,608,"Rags, roots, grease.",,,Relieved 8 inch mainline choke with 200 ft. of pressure hose.  Performed mainline CCTV inspection.,Gwynns Falls,,Baltimore City,,,
2018,SSO,City of Baltimore Dept. of Public Works,Dry,,2/1/2018,10:30:00 AM,0,2,30,1500 N. Franklintown Rd.,Manhole,21229,39.300283,-76.671743,City of Baltimore Dept. of Public Works,750,750,"Rags, roots, grease.",,,Relieved 8 inch mainline choke with 10 ft. of pressure hose.  Performed mainline CCTV inspection.,Gwynns Falls,,Baltimore City,,,
2018,SSO,City of Baltimore Dept. of Public Works,Dry,,2/1/2018,3:50:00 PM,0,2,6,2700 Gwynns Falls Pkwy.,Manhole,21216,39.315184,-76.663903,City of Baltimore Dept. of Public Works,126,126,"Rags, trash/debris, sand, gravel, rocks.",,,Flushed and cleaned 4 inch mainline with 100 ft. of pressure hose.  Performed mainline CCTV inspection.,Gwynns Falls,,Baltimore City,,,
2018,SSO,City of Baltimore Dept. of Public Works,Wet,,2/4/2018,6:05:00 PM,0,4,25,428 E. Preston St.,Manhole,21202,39.30514,-76.60977,City of Baltimore Dept. of Public Works,2311000,2311000,Rain.,,,SSO structure; not applicable.  SSO structure will be closed upon completion of necessary capital project.,Jones Falls,Jones Falls,Baltimore City,,,
2018,SSO,City of Baltimore Dept. of Public Works,Wet,,2/4/2018,6:25:00 PM,0,2,10,1901 Falls Rd.,Manhole,21211,39.311744,-76.620287,City of Baltimore Dept. of Public Works,161000,161000,Rain.,,,SSO structure; not applicable.  SSO structure will be closed upon completion of necessary capital project.,Jones Falls,Jones Falls,Baltimore City,,,
2018,SSO,City of Baltimore Dept. of Public Works,Wet,,2/5/2018,1:45:00 PM,58,19,11,200 Font Hill Ave.,Pipe,21223,39.2844,-76.66312,City of Baltimore Dept. of Public Works,845,845,Pipe break.,,,Contractor performed repair on specific smaller leaks.  Extensive research done on these assets to determine future improvements.,Gwynns Falls,,Baltimore City,,,
2018,SSO,City of Baltimore Dept. of Public Works,Wet,,2/6/2018,1:37:00 PM,0,1,24,4501 N. Charles St.,Manhole,21212,39.346194,-76.62138,City of Baltimore Dept. of Public Works,840,840,"Rags, grease, trash/debris, sand, gravel, rocks.",,,Relieved 8 inch mainline choke with 200 ft. of pressure hose. Performed mainline CCTV inspection.,Jones Falls,Jones Falls,Baltimore City,,,
2018,SSO,City of Baltimore Dept. of Public Works,Wet,,2/6/2018,,,,,4202 Groveland Ave.,Sump Pump,21215,39.261782,-76.528921,City of Baltimore Dept. of Public Works,99,99,"Rags, grease, trash/debris, sand, gravel, rocks.",,,Relieved 8 inch mainline choke with 375 ft. of pressure hose.  Confirmed mainline is clear.,Gwynns Falls,,Baltimore City,,,
2018,SSO,City of Baltimore Dept. of Public Works,Wet,,2/6/2018,,,,,2500 Liberty Heights,Clean out,21215,39.319763,-76.655647,City of Baltimore Dept. of Public Works,99,99,Rags.,,,Ran 60 ft. of electric cable; unable to pass through 6 inch line.  On-site plumber finished relieving choke.  Performed house lateral CCTV inspection.,Gwynns Falls,,Baltimore City,,,
2018,SSO,City of Baltimore Dept. of Public Works,Wet,,2/6/2018,3:00:00 PM,0,6,52,1222 Seminole Rd.,Manhole,21229,39.299902,-76.690956,City of Baltimore Dept. of Public Works,824,824,"Rags, roots, rain.",,,Relieved 8 inch mainline choke with 300 ft. of pressure hose.  Performed mainline CCTV inspection.,Gwynns Falls,Gwynns Falls,Baltimore City,,,
2018,SSO,City of Baltimore Dept. of Public Works,Wet,,2/6/2018,2:45:00 PM,,,,200 Font Hill Ave.,Pipe,21223,39.284167,-76.663991,City of Baltimore Dept. of Public Works,,,Pipe break.,,,Contractor determining course of action for repair. Exploring possibility of pipe lining. Ongoing overflow related to pipe currently being bypassed.  Final quantity & duration to be updated .,Gwynns Falls,,Baltimore City,,,
2018,SSO,City of Baltimore Dept. of Public Works,Wet,,2/6/2018,1:41:00 PM,0,1,18,4711 York Rd.,Manhole,21212,39.345891,-76.609315,City of Baltimore Dept. of Public Works,156,156,"Grease, trash/debris, sand, gravel, rocks.",,,Relieved mainline choke.  Performed CCTV inspection.,Jones Falls,Jones Falls,Baltimore City,,,
2018,SSO,City of Baltimore Dept. of Public Works,Wet,,2/7/2018,11:02:00 AM,0,0,59,Wetheredsville Rd. & Windsor Mill Rd.,Manhole,21207,39.314617,-76.714788,City of Baltimore Dept. of Public Works,590,590,"Rags, roots, trash/debris, sand, gravel, rocks.",,,Relieved 10 inch mainline choke with 200 ft. of pressure hose.  Performed mainline CCTV inspection.,Gwynns Falls,,Baltimore City,,,
2018,SSO,City of Baltimore Dept. of Public Works,Wet,,2/8/2018,,,,,460 Roundview Rd.,Clean out,21225,39.249463,-76.620253,City of Baltimore Dept. of Public Works,99,99,"Grease, pipe break.",Baltimore City Health Department,,Ran 14 ft. of electric cable to remove grease and gravel. Unable to continue on customer side. Referred for further investigation of mainline due to repeated issues and alerted health department.,Patapsco River L N Br,,Baltimore City,,,
2018,SSO,City of Baltimore Dept. of Public Works,Wet,,2/8/2018,1:37:00 PM,0,1,28,4000 Linkwood Rd.,Manhole,21210,39.338843,-76.625653,City of Baltimore Dept. of Public Works,99,99,"Rags, roots, trash/debris, sand, gravel, rocks.",,,Relieved 8 inch mainline choke with 250 ft. of pressure hose.  Performed mainline CCTV inspection.,Jones Falls,Stony Run,Baltimore City,,,
2018,SSO,City of Baltimore Dept. of Public Works,Wet,,2/9/2018,12:29:00 PM,0,1,1,4100 Ethland Ave.,Manhole,21207,39.323787,-76.690119,City of Baltimore Dept. of Public Works,305,305,"Rags, roots, trash/debris, sand, gravel, rocks.",,,Relieved 8 inch mainline choke with 400 ft. of pressure hose.  Performed mainline CCTV inspection.,Gwynns Falls,Gwynns Falls,Baltimore City,,,
2018,SSO,City of Baltimore Dept. of Public Works,Wet,,2/11/2018,8:20:00 AM,0,8,35,428 E. Preston St.,Manhole,21202,39.30514,-76.60977,City of Baltimore Dept. of Public Works,4757000,4757000,Rain.,,,SSO structure; not applicable.  SSO structure will be closed upon completion of necessary capital project. Structure discharges directly to Jones Falls and is monitored by metering equipment in pipe.,Jones Falls,Jones Falls,Baltimore City,,,
2018,SSO,City of Baltimore Dept. of Public Works,Wet,,2/11/2018,10:10:00 AM,0,5,0,1901 Falls Rd.,Manhole,21211,39.311744,-76.620287,City of Baltimore Dept. of Public Works,955000,955000,Rain.,,,SSO structure; not applicable.   SSO structure will be closed upon completion of necessary capital project.  Structure is monitored by metering equipment in the pipe.,Jones Falls,Jones Falls,Baltimore City,,,
2018,SSO,City of Baltimore Dept. of Public Works,Wet,,2/11/2018,11:56:00 AM,0,2,1,Western Run Dr. & Bonnie View Dr.,Manhole,21209,39.367849,-76.665348,City of Baltimore Dept. of Public Works,36300,36300,Rain.,,,Replaced manhole cover.  Contractor to CCTV mainline.,Jones Falls,Western Run,Baltimore City,,,
2018,SSO,City of Baltimore Dept. of Public Works,Wet,,2/11/2018,,,,,414 Drury Lane,Manhole,21229,39.2872,-76.703776,City of Baltimore Dept. of Public Works,99,99,"Rags, roots, grease.",,,Relieved 8 inch mainline choke with 300 ft. of pressure hose.  Performed mainline CCTV inspection.,Gwynns Falls,,Baltimore City,,,
2018,SSO,City of Baltimore Dept. of Public Works,Wet,,2/12/2018,,,,,2904 Montebello Terrace,Clean out,21214,39.341057,-76.573783,City of Baltimore Dept. of Public Works,99,99,"Rags, grease.",,,Relieved house connection choke with 30 ft. of electric cable.  Performed CCTV inspection.,Back River,,Baltimore City,,,
2018,SSO,City of Baltimore Dept. of Public Works,Wet,,2/12/2018,,,,,319 E. 22nd St.,Clean out,21218,39.314252,-76.611993,City of Baltimore Dept. of Public Works,99,99,"Rags, roots, trash/debris, sand, gravel, rocks.",,,Relieved house connection choke with 60 ft. of electric cable. Performed CCTV inspection; flushed and cleaned 8 inch mainline.,Jones Falls,,Baltimore City,,,
2018,SSO,City of Baltimore Dept. of Public Works,Wet,,2/13/2018,,,,,136 S. Loudon Ave.,Clean out,21229,39.283821,-76.682271,City of Baltimore Dept. of Public Works,99,99,"Rags, pipe break.",,,Relieved house connection choke.  This lateral is already scheduled for a repair.,Gwynns Falls,,Baltimore City,,,
2018,SSO,City of Baltimore Dept. of Public Works,Wet,,2/13/2018,5:40:00 PM,0,5,55,3903 8th St.,Pipe,21225,39.232281,-76.601138,City of Baltimore Dept. of Public Works,710,710,"Rags, roots, pipe break.",,,Relieved mainline choke with 25 ft. of pressure hose.  Performed CCTV inspection to determine possible structural damage in pipe.,Baltimore Harbor,,Baltimore City,,,
2018,SSO,City of Baltimore Dept. of Public Works,Wet,,2/14/2018,11:05:00 AM,0,0,30,Fair Oaks Ave. & E. Northern Pkwy,Manhole,21214,39.366375,-76.561653,City of Baltimore Dept. of Public Works,150,150,"Rags, roots, grease.",,,Relieved 8 inch mainline choke with 300 ft. of pressure hose.  Performed mainline CCTV inspection.,Back River,Inner Harbor,Baltimore City,,,
2018,SSO,City of Baltimore Dept. of Public Works,Wet,,2/14/2018,1:15:00 PM,0,1,35,4430 Seidel Ave.,Manhole,21206,39.327173,-76.560292,City of Baltimore Dept. of Public Works,99,99,"Rags, grease, trash/debris, sand, gravel, rocks.",,,Relieved 8 inch mainline choke with 375 ft. of pressure hose.  Performed CCTV inspection; confirmed mainline is clear.,Back River,Herring Run,Baltimore City,,,
2018,SSO,City of Baltimore Dept. of Public Works,Wet,,2/14/2018,,,,,1751 E. Pratt St.,Clean out,21231,39.289125,-76.59174,City of Baltimore Dept. of Public Works,99,99,"Roots, pipe break.",,,"Ran 13 ft. of electric cable through house connection, encountered structural damage, scheduled repair.  Set up bypass pumping while connection is being repaired.",Baltimore Harbor,Inner Harbor,Baltimore City,,,
2018,SSO,City of Baltimore Dept. of Public Works,Wet,,2/14/2018,9:08:00 AM,0,6,50,251 S. Morley St.,Clean out,21229,39.282553,-76.677328,City of Baltimore Dept. of Public Works,1230,1230,"Rags, roots.",,,Relieved house connection choke; flushed and cleaned 8 inch mainline.  Performed CCTV inspection.,Gwynns Falls,,Baltimore City,,,
2018,SSO,City of Baltimore Dept. of Public Works,Wet,,2/14/2018,,,,,107 E. 25th St.,Clean out,21218,39.317548,-76.614897,City of Baltimore Dept. of Public Works,99,99,Rags.,,,Unable to relieve house connection choke using both electric cable and pressure hose. Performed CCTV inspection to investigate blockage.,Jones Falls,,Baltimore City,,,
2018,SSO,City of Baltimore Dept. of Public Works,Wet,,2/14/2018,,,,,4708 Vancouver Rd.,Clean out,21229,39.273873,-76.695307,City of Baltimore Dept. of Public Works,99,99,"Rags, roots.",,,Relieved 6 inch house connection choke with 30 ft. of electric cable.  Performed house lateral CCTV inspection.,Gwynns Falls,,Baltimore City,,,
2018,SSO,City of Baltimore Dept. of Public Works,Wet,,2/14/2018,1:00:00 PM,1,3,48,200 Font Hill Ave.,Pipe,21223,39.284167,-76.663991,City of Baltimore Dept. of Public Works,3336,3336,Pipe break.,,,Contractor replaced leaking joint.  Pipe is being bypassed and will be fixed in the future.,Gwynns Falls,Gwynns Falls,Baltimore City,,,
2018,SSO,City of Baltimore Dept. of Public Works,Dry,,2/15/2018,,,,,2909 Fait Ave.,Clean out,21224,39.283089,-76.575248,City of Baltimore Dept. of Public Works,99,99,"Rags, grease, trash/debris, sand, gravel, rocks.",,,Relieved house connection choke with 30 ft. of electric cable.  Performed CCTV inspection.,Baltimore Harbor,Inner Harbor,Baltimore City,,,
2018,SSO,City of Baltimore Dept. of Public Works,Dry,,2/15/2018,8:11:00 PM,0,1,10,5807 Royal Oak Ave.,Manhole,21207,39.323833,-76.71045,City of Baltimore Dept. of Public Works,140,140,"Rags, roots, trash/debris, sand, gravel, rocks.",,,Relieved 8 inch mainline choke with 100 ft. of pressure hose.  Performed CCTV inspection.,Baltimore Harbor,,Baltimore City,,,
2018,SSO,City of Baltimore Dept. of Public Works,Dry,,2/15/2018,,,,,5010 Queensbury Ave.,Clean out,21215,39.349067,-76.671445,City of Baltimore Dept. of Public Works,99,99,"Rags, roots.",,,Relieved 6 inch house connection choke with 30 ft. of electric cable.  Performed house lateral CCTV inspection.,Jones Falls,,Baltimore City,,,
2018,SSO,City of Baltimore Dept. of Public Works,Dry,,2/15/2018,12:06:00 PM,0,10,57,3028 Mosher St.,Manhole,21216,39.299553,-76.668726,City of Baltimore Dept. of Public Works,2754,2754,"Rags, grease, trash/debris, sand, gravel, rocks.",,,Relieved 8 inch mainline choke with 250 ft. of pressure hose.  Performed mainline CCTV inspection.,Gwynns Falls,,Baltimore City,,,
2018,SSO,City of Baltimore Dept. of Public Works,Wet,,2/16/2018,,,,,616 Wyndhurst Ave.,Clean out,21210,39.353483,-76.630979,City of Baltimore Dept. of Public Works,99,99,"Rags, roots.",,,Relieved 6 inch house connection choke with 5 ft. of electric cable.  Performed CCTV inspection; left notice for plumber to check consumer side.,Jones Falls,,Baltimore City,,,
2018,SSO,City of Baltimore Dept. of Public Works,Wet,,2/16/2018,,,,,809 N. Caroline St.,Clean out,21205,39.299718,-76.597401,City of Baltimore Dept. of Public Works,99,99,"Rags, trash/debris, sand, gravel, rocks.",,,Relieved house connection choke with 45 ft. of electric cable. Performed CCTV inspection; flushed and cleaned 8 inch mainline.,Baltimore Harbor,,Baltimore City,,,
2018,SSO,City of Baltimore Dept. of Public Works,Wet,,2/16/2018,,,,,1412 N. Luzerne Ave.,Clean out,21213,39.30728,-76.581637,City of Baltimore Dept. of Public Works,99,99,"Rags, trash/debris, sand, gravel, rocks.",,,Relieved house connection choke with 60 ft. of electric cable. Performed house lateral CCTV inspection.,Baltimore Harbor,,Baltimore City,,,
2018,SSO,City of Baltimore Dept. of Public Works,Wet,,2/16/2018,,,,,2024 N. Calvert St.,Clean out,21218,39.312983,-76.614092,City of Baltimore Dept. of Public Works,99,99,"Rags, trash/debris, sand, gravel, rocks.",,,Relieved house connection choke with 30 ft. of electric cable. Performed CCTV inspection; flushed and cleaned 8 inch mainline.,Jones Falls,,Baltimore City,,,
2018,SSO,City of Baltimore Dept. of Public Works,Wet,,2/16/2018,,,,,2535 Brookfield Ave.,Clean out,21217,39.316317,-76.633658,City of Baltimore Dept. of Public Works,99,99,"Rags, trash/debris, sand, gravel, rocks.",,,Relieved house connection choke with 15 ft. of electric cable.  Performed CCTV inspection.,Jones Falls,,Baltimore City,,,
2018,SSO,City of Baltimore Dept. of Public Works,Wet,,2/17/2018,,,,,5509 Anthony Ave.,Clean out,21205,39.337904,-76.544223,City of Baltimore Dept. of Public Works,99,99,Roots.,,,Relieved house connection choke with 45 ft. of electric cable.  Performed house lateral CCTV inspection.,Baltimore Harbor,,Baltimore City,,,
2018,SSO,City of Baltimore Dept. of Public Works,Wet,,2/18/2018,,,,,2745 Rayner Ave.,Clean out,21216,39.296063,-76.662217,City of Baltimore Dept. of Public Works,99,99,"Rags, roots.",,,Relieved 6 inch house connection choke with 30 ft. of electric cable. Performed CCTV inspection.,Gwynns Falls,,Baltimore City,,,
2018,SSO,City of Baltimore Dept. of Public Works,Wet,,2/20/2018,,,,,2639 Hampden Ave.,Clean out,21211,39.319037,-76.62283,City of Baltimore Dept. of Public Works,99,99,"Rags, trash/debris, sand, gravel, rocks.",,,Relieved house connection choke with 13 ft. of electric cable.  Performed house lateral CCTV inspection; will investigate further due to mud in connection.,Jones Falls,,Baltimore City,,,
2018,SSO,City of Baltimore Dept. of Public Works,Wet,,2/20/2018,,,,,1939 Ramsey St.,Clean out,21223,39.282772,-76.647822,City of Baltimore Dept. of Public Works,99,99,"Rags, roots.",,,Left notice for plumber to install a cleanout at a proper location.,Gwynns Falls,,Baltimore City,,,
2018,SSO,City of Baltimore Dept. of Public Works,Dry,,2/21/2018,,,,,3132 Guilford Ave.,Clean out,21218,39.326913,-76.613706,City of Baltimore Dept. of Public Works,99,99,"Rags, trash/debris, sand, gravel, rocks.",,,Relieved house connection choke with 30 ft. of electric cable.  Performed CCTV inspection; left notice for consumer to install cap on cleanout.,Jones Falls,,Baltimore City,,,
2018,SSO,City of Baltimore Dept. of Public Works,Dry,,2/21/2018,,,,,1823 McCulloh St.,Clean out,21217,39.307139,-76.63321,City of Baltimore Dept. of Public Works,99,99,"Rags, roots.",,,Relieved house connection choke with electric cable.  Performed CCTV inspection; referred for further investigation for possible pipe damage.,Jones Falls,,Baltimore City,,,
2018,SSO,City of Baltimore Dept. of Public Works,Dry,,2/22/2018,11:54:00 PM,0,10,36,5615 York Rd.,Clean out,21212,39.357951,-76.609545,City of Baltimore Dept. of Public Works,3180,3180,"Rags, grease.",,,"Relieved house connection choke with 45 ft. of electric cable, auger, and expander.  Performed CCTV inspection.",Jones Falls,,Baltimore City,,,
2018,SSO,City of Baltimore Dept. of Public Works,Dry,,2/22/2018,,,,,421 E. 22nd St.,Clean out,21218,39.314278,-76.610425,City of Baltimore Dept. of Public Works,99,99,"Rags, trash/debris, sand, gravel, rocks.",,,Relieved house connection choke with 60 ft. of electric cable.  Performed CCTV inspection.,Jones Falls,,Baltimore City,,,
2018,SSO,City of Baltimore Dept. of Public Works,Wet,,2/23/2018,,,,,5102 Anthony Ave.,Clean out,21206,39.333784,-76.551149,City of Baltimore Dept. of Public Works,99,99,"Rags, roots, trash/debris, sand, gravel, rocks.",,,Relieved house connection choke with 30 ft. of electric cable.  Performed house lateral CCTV inspection.,Back River,,Baltimore City,,,
2018,SSO,City of Baltimore Dept. of Public Works,Wet,,2/24/2018,,,,,613 N. Carey St.,Clean out,21217,39.295853,-76.63827,City of Baltimore Dept. of Public Works,99,99,"Rags, roots.",,,Relieved 6 inch house connection choke with 45 ft. of electric cable.  Performed CCTV inspection.,Gwynns Falls,,Baltimore City,,,
2018,SSO,City of Baltimore Dept. of Public Works,Wet,,2/26/2018,11:18:00 PM,0,2,45,1823 Eutaw Pl.,Clean out,21217,39.308654,-76.631287,City of Baltimore Dept. of Public Works,330,330,"Rags, trash/debris, sand, gravel, rocks.",,,Relieved 8 inch mainline choke with 300 ft. of pressure hose.  Performed mainline CCTV inspection.,Jones Falls,,Baltimore City,,,
